folder,flow_sum,duration
france,224999.150059781,0.9546823501586914
janos-us-ca,122975.99967229932,24.04472327232361
giul39,27520.000023462606,47.4845871925354
pioro40,26814.999677146363,13.806541919708252
germany50,6920.000036847163,8.355280637741089
sun,3359.999780577122,0.08206653594970703
cost266,861839.8136260035,17.609313011169434
dfn-gwin,16437.996012880136,0.3288605213165283
ta1,42335963.63829876,1.5117766857147217
atlanta,175999.73852745147,0.21509766578674316
norway,101999.98037220551,5.462027549743652
nobel-germany,980.0000005437115,0.1051030158996582
geant,2879999.505760924,1.5223007202148438
di-yuan,77.00000005388354,0.026699066162109375
polska,5114.9995631637485,0.03380012512207031
janos-us,5376.000002614938,3.439023494720459
nobel-eu,1560.000000208696,1.1064848899841309
zib54,272159.89677328896,24.847627878189087
nobel-us,780.0000009745308,0.06028556823730469
ta2,175391896.59361005,64.04539132118225
abilene,282718.9421387099,0.06729507446289062
newyork,97999.98709030561,1.1032774448394775
india35,94199.94346064157,7.711379766464233
pdh,1919.9942303751873,0.02385115623474121
brain,127999981954.84209,3004.68487739563
dfn-bwin,7199996.375524473,0.2386155128479004
